epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
20,167,,,,,,,,,,,,,,,,,24.09648895263672,12.673162460327148,23.263093948364258,0.9809069037437439,28.025127410888672,13.77072525024414,27.191757202148438,0.9556000232696533,21.872230529785156,11.172684669494629,21.038782119750977,0.875,28.488462448120117,13.914202690124512,27.655067443847656,0.9545353651046753
20,167,20.158166885375977,11.339837074279785,19.323095321655273,0.8888888955116272,27.80568504333496,13.631629943847656,26.97140121459961,0.9200000166893005,23.718278884887695,12.15412425994873,22.882598876953125,1.0,28.48114776611328,13.838482856750488,27.646947860717773,0.9210526347160339,,,,,,,,,,,,,,,,
21,175,,,,,,,,,,,,,,,,,24.546483993530273,12.512992858886719,23.71308708190918,0.9809069037437439,27.944339752197266,13.462804794311523,27.11096954345703,0.9509999752044678,22.088096618652344,11.054069519042969,21.25458335876465,0.8888888955116272,28.353605270385742,13.589526176452637,27.520235061645508,0.9492126703262329
21,175,21.282644271850586,11.033183097839355,20.449886322021484,1.0,28.31015396118164,13.318338394165039,27.47675132751465,0.9279999732971191,25.001041412353516,12.18130874633789,24.1586971282959,1.0,28.92301368713379,13.518693923950195,28.08971405029297,0.9210526347160339,,,,,,,,,,,,,,,,
22,183,,,,,,,,,,,,,,,,,24.407466888427734,12.440741539001465,23.57411003112793,0.9689737558364868,27.84086799621582,13.27784538269043,27.00752830505371,0.9455999732017517,21.956819534301758,11.00729751586914,21.12334442138672,0.9166666865348816,28.25386619567871,13.391889572143555,27.4205265045166,0.9438899755477905
22,183,20.007585525512695,10.884309768676758,19.17160987854004,0.8888888955116272,27.087215423583984,13.282772064208984,26.25365447998047,0.9440000057220459,22.582088470458984,12.044039726257324,21.74416732788086,1.0,27.725170135498047,13.493858337402344,26.891878128051758,0.9473684430122375,,,,,,,,,,,,,,,,
23,191,,,,,,,,,,,,,,,,,23.160947799682617,12.631706237792969,22.327667236328125,0.964200496673584,26.9432373046875,13.62102222442627,26.109952926635742,0.9552000164985657,20.516090393066406,10.860184669494629,19.682659149169922,0.8888888955116272,27.39733123779297,13.757037162780762,26.564043045043945,0.9554224610328674
23,191,20.606801986694336,10.713851928710938,19.767986297607422,0.8888888955116272,27.67954444885254,12.938650131225586,26.845823287963867,0.9599999785423279,27.697559356689453,12.767335891723633,26.87310791015625,1.0,28.23760223388672,13.117298126220703,27.404123306274414,0.9649122953414917,,,,,,,,,,,,,,,,
24,199,,,,,,,,,,,,,,,,,23.146516799926758,12.52463436126709,22.313434600830078,0.957040548324585,26.646371841430664,13.23192310333252,25.81313133239746,0.9459999799728394,20.087358474731445,10.524208068847656,19.254077911376953,0.9027777910232544,27.076324462890625,13.340879440307617,26.24307632446289,0.9456642270088196
24,199,21.38592529296875,10.543985366821289,20.55609130859375,1.0,27.308212280273438,12.837021827697754,26.474475860595703,0.9520000219345093,23.115276336669922,11.489118576049805,22.275917053222656,1.0,27.84932518005371,13.04169750213623,27.015380859375,0.9473684430122375,,,,,,,,,,,,,,,,
25,207,,,,,,,,,,,,,,,,,22.782291412353516,12.418012619018555,21.949546813964844,0.9474940299987793,26.39899444580078,12.918414115905762,25.565937042236328,0.9459999799728394,19.207077026367188,10.493556022644043,18.374048233032227,0.875,26.849912643432617,13.003636360168457,26.016830444335938,0.9469949007034302
25,207,19.41438102722168,10.469966888427734,18.580400466918945,0.7777777910232544,26.48750114440918,12.760838508605957,25.653385162353516,0.9200000166893005,19.240310668945312,11.528188705444336,18.408193588256836,1.0,27.17304801940918,12.963321685791016,26.33888816833496,0.9298245906829834,,,,,,,,,,,,,,,,
26,215,,,,,,,,,,,,,,,,,23.88804054260254,11.040740966796875,23.055830001831055,0.9427207708358765,27.175434112548828,12.00666618347168,26.34283447265625,0.9215999841690063,21.556201934814453,10.02114486694336,20.723873138427734,0.9027777910232544,27.570653915405273,12.128130912780762,26.73799705505371,0.9199379086494446
26,215,18.49773406982422,11.340450286865234,17.665666580200195,1.0,25.05690574645996,12.801679611206055,24.224504470825195,0.9279999732971191,14.447243690490723,12.103704452514648,13.619949340820312,1.0,25.760868072509766,12.929285049438477,24.9283504486084,0.9210526347160339,,,,,,,,,,,,,,,,
27,223,,,,,,,,,,,,,,,,,22.412050247192383,10.222235679626465,21.58009147644043,0.9260143041610718,25.613069534301758,11.304652214050293,24.78084373474121,0.9118000268936157,19.13580322265625,9.278936386108398,18.30378532409668,0.8611111044883728,26.013944625854492,11.437581062316895,25.181703567504883,0.9112885594367981
27,223,18.72795295715332,9.352763175964355,17.89427375793457,0.8888888955116272,25.26647186279297,11.425865173339844,24.432960510253906,0.9359999895095825,17.548425674438477,8.435428619384766,16.711956024169922,1.0,25.918075561523438,11.641995429992676,25.08462905883789,0.9385964870452881,,,,,,,,,,,,,,,,
28,231,,,,,,,,,,,,,,,,,20.23248291015625,10.281201362609863,19.400419235229492,0.9451074004173279,24.618478775024414,11.224733352661133,23.786104202270508,0.9377999901771545,15.909191131591797,7.864010334014893,15.077075958251953,0.8055555820465088,25.16510772705078,11.366076469421387,24.332731246948242,0.9392326474189758
28,231,18.4615421295166,9.01309871673584,17.63197135925293,1.0,24.898765563964844,11.152615547180176,24.066974639892578,0.9039999842643738,22.010372161865234,11.31920051574707,21.175479888916016,1.0,25.457639694213867,11.318601608276367,24.625730514526367,0.8947368264198303,,,,,,,,,,,,,,,,
29,239,,,,,,,,,,,,,,,,,19.265647888183594,9.36572551727295,18.43355941772461,0.921241044998169,23.827892303466797,10.375893592834473,22.995540618896484,0.9340000152587891,14.97126579284668,7.267278671264648,14.139033317565918,0.8333333134651184,24.39326286315918,10.519403457641602,23.560884475708008,0.9367930889129639
29,239,17.702850341796875,7.788119792938232,16.87257194519043,0.8888888955116272,23.84930419921875,10.319585800170898,23.016767501831055,0.9440000057220459,14.27520751953125,7.6553473472595215,13.449437141418457,1.0,24.50251579284668,10.566180229187012,23.669689178466797,0.9473684430122375,,,,,,,,,,,,,,,,
30,247,,,,,,,,,,,,,,,,,19.221893310546875,8.529400825500488,18.39009666442871,0.9021479487419128,22.795551300048828,10.108641624450684,21.963510513305664,0.8672000169754028,15.000154495239258,7.802468299865723,14.168132781982422,0.75,23.25209617614746,10.292214393615723,22.420047760009766,0.8658239245414734
30,247,16.554014205932617,6.9589972496032715,15.726285934448242,0.8888888955116272,23.073928833007812,9.907567977905273,22.241079330444336,0.8640000224113464,8.854448318481445,5.48258638381958,8.024394035339355,1.0,23.83812141418457,10.217982292175293,23.004823684692383,0.859649121761322,,,,,,,,,,,,,,,,
31,255,,,,,,,,,,,,,,,,,18.90472984313965,8.374136924743652,18.072872161865234,0.8997613191604614,22.306419372558594,9.539305686950684,21.474288940429688,0.8853999972343445,14.43240737915039,7.225968360900879,13.60031509399414,0.7361111044883728,22.748252868652344,9.684517860412598,21.916095733642578,0.8864493370056152
